Dt(m);Vb(kN)
0;0.00E+00
0.002;1003.697
0.004;1798.035
0.006;2065.674
0.008;2310.184
0.01;2607.588
0.012;2963.836
0.014;3012
0.016;3100
0.018;3150
0.02;3200
0.022;3280
0.024;3343
0.026;3423
0.028;3466.967
0.03;3532.158
0.032;3583.208
0.034;3622.926
0.036;3654.16
0.038;3679.392
0.04;3698.917
0.042;3713.09
0.044;3722.18
0.046;3726.035
0.048;3725.041
0.05;3719.632

