Dt(m);Vb(kN)
0.000;0.0
0.027;4050.0
0.053;7467.4
0.080;9541.5
0.107;11271.8
0.133;12482.8
0.160;13576.4
0.187;14507.2
0.213;15105.7
0.240;15485.2
0.267;15822.3
0.293;15859.3
0.320;15744.9
