Dt(m);Vb(kN)
0.000;0.0
0.027;5158.5
0.053;9268.9
0.080;12114.4
0.107;13821.3
0.133;15355.3
0.160;16659.3
0.187;17758.7
0.213;18518.7
0.240;19078.8
0.267;19389.5
0.293;19590.3
0.320;19411.3
