Time [sec];Acceleration [g]
33.7;-0.003
33.8;0.0168
33.9;0.0302
34.0;0.016
34.1;0.0172
34.2;0.0123
34.3;0.004
34.4;-0.0064
34.5;0.0141
34.6;-0.0153
34.7;-0.0379
34.8;-0.0186
34.9;0.0025
35.0;-0.0104
35.1;0.0327
35.2;0.0234
35.3;0.0065
35.4;0.0011
35.5;-0.0163
35.6;-0.0211
35.7;0.0001
35.8;-0.0091
35.9;-0.0117
36.0;-0.0111
36.1;-0.0054
36.2;-0.0233
36.3;-0.018
36.4;-0.002
36.5;0.0018
36.6;0.0286
36.7;0.0447
36.8;0.035
36.9;0.0142
37.0;0.0225
37.1;0.0035
37.2;0.0021
37.3;0.0096
37.4;0.0001
37.5;-0.0038
37.6;0.0078
37.7;-0.0096
37.8;-0.0095
37.9;-0.003
38.0;-0.0163
38.1;-0.019
38.2;-0.029
38.3;-0.0093
38.4;0.0008
38.5;-0.0108
38.6;-0.0073
38.7;-0.007
38.8;-0.0043
38.9;-0.0015
39.0;0.0175
39.1;0.0193
39.2;0.0226
39.3;0.015
39.4;0.0125
39.5;0.0064
39.6;-0.0026
39.7;0.0108
39.8;0.0024
39.9;-0.0047
40.0;-0.007
40.1;-0.0163
40.2;-0.0177
40.3;-0.0045
40.4;-0.0031
40.5;-0.0053
40.6;0.0118
40.7;0.0213
40.8;0.0134
40.9;0.0155
41.0;-0.0026
41.1;-0.0207
41.2;-0.0207
41.3;-0.0126
41.4;-0.0022
41.5;0.0093
41.6;-0.0066
41.7;-0.008
41.8;-0.0078
41.9;-0.0036
42.0;0.0065
42.1;-0.001
42.2;-0.0086
42.3;0.001
42.4;0.0055
42.5;0.0161
42.6;0.0045
42.7;-0.0052
42.8;-0.0127
42.9;0.0004
43.0;0.0147
43.1;0.0305
43.2;0.0162
43.3;-0.0102
43.4;-0.0319
43.5;-0.0335
43.6;-0.0181
43.7;0.0011
43.8;0.0172
43.9;0.0317
44.0;0.0254
44.1;0.0171
44.2;0.0096
44.3;-0.0044
44.4;-0.0163
44.5;-0.0165
44.6;-0.004
44.7;0.0149
44.8;0.0274
44.9;0.0114
45.0;-0.0095
45.1;-0.0229
45.2;-0.027
45.3;-0.0236
45.4;-0.0088
45.5;0.0028
45.6;0.0002
45.7;0.0081
45.8;0.0079
45.9;-0.0038
46.0;-0.0074
46.1;-0.0055
46.2;0.0023
46.3;0.0107
46.4;0.0182
46.5;0.0088
46.6;0.0078
46.7;0.0045
46.8;0.0014
46.9;-0.0053
47.0;-0.0032
47.1;-0.0018
47.2;-0.002
47.3;0.001
47.4;0.0033
47.5;0.0012
47.6;0.0067
47.7;0.003
47.8;0.0033
47.9;-0.0013
48.0;-0.0069
48.1;-0.0048
48.2;-0.0032
48.3;-0.0039
48.4;-0.0029
48.5;-0.0015
48.6;-0.0004
48.7;0.0006
48.8;0.0008
48.9;0.0003
49.0;-0.0
49.1;-0.0002
49.2;0.0
49.3;0.0001
49.4;0.0
49.5;0.0
49.6;0.0001
49.7;0.0001
49.8;0.0001
49.9;0.0
