Time [sec];Acceleration [g]
33.9;-0.0078
34.0;0.0172
34.1;0.0162
34.2;-0.0011
34.3;-0.0149
34.4;-0.0171
34.5;-0.0372
34.6;0.042
34.7;-0.0158
34.8;-0.0428
34.9;0.0246
35.0;0.0255
35.1;-0.0002
35.2;-0.0011
35.3;-0.0055
35.4;-0.0106
35.5;0.0254
35.6;-0.0119
35.7;-0.0118
35.8;0.0168
35.9;0.0075
36.0;0.0127
36.1;-0.0224
36.2;-0.007
36.3;-0.0026
36.4;0.0118
36.5;-0.0006
36.6;-0.0056
36.7;0.0126
36.8;-0.0059
36.9;-0.0105
37.0;0.008
37.1;-0.0087
37.2;-0.0001
37.3;0.0156
37.4;-0.0006
37.5;0.0199
37.6;0.0031
37.7;-0.0012
37.8;0.0038
37.9;0.0003
38.0;-0.0087
38.1;-0.0043
38.2;-0.0079
38.3;-0.0093
38.4;-0.0021
38.5;0.006
38.6;0.0019
38.7;0.0001
38.8;0.0007
38.9;0.0023
39.0;0.0008
39.1;0.0006
39.2;0.0003
39.3;-0.0
39.4;0.0002
39.5;0.0001
39.6;0.0001
39.7;-0.0
39.8;-0.0
39.9;0.0
