Time [sec];Acceleration [g]
33.8;-0.0157
33.9;-0.1524
34.0;0.0278
34.1;0.0371
34.2;-0.0281
34.3;-0.0731
34.4;-0.1175
34.5;-0.1745
34.6;-0.1611
34.7;-0.1107
34.8;-0.2812
34.9;-0.2339
35.0;-0.052
35.1;-0.0551
35.2;-0.0645
35.3;-0.0768
35.4;-0.1762
35.5;-0.1259
35.6;-0.0868
35.7;-0.2166
35.8;-0.154
35.9;-0.0593
36.0;0.0278
36.1;0.0104
36.2;-0.0334
36.3;0.0188
36.4;0.032
36.5;-0.0318
36.6;-0.1022
36.7;-0.1229
36.8;-0.0274
36.9;0.1407
37.0;0.0707
37.1;0.1391
37.2;0.2783
37.3;0.3105
37.4;0.1473
37.5;0.0828
37.6;0.141
37.7;0.1101
37.8;0.1871
37.9;0.1828
38.0;0.128
38.1;0.1234
38.2;0.1539
38.3;0.136
38.4;0.093
38.5;0.1349
38.6;0.1005
38.7;0.0333
38.8;0.054
38.9;0.0051
39.0;-0.1189
39.1;-0.0322
39.2;0.0042
39.3;0.0469
39.4;0.0974
39.5;0.0782
39.6;-0.0629
39.7;-0.0416
39.8;-0.0514
39.9;-0.0863
40.0;-0.1123
40.1;-0.146
40.2;-0.1654
40.3;-0.1018
40.4;-0.125
40.5;-0.1017
40.6;-0.0426
40.7;0.0267
40.8;-0.0294
40.9;-0.1405
41.0;-0.2103
41.1;-0.2065
41.2;-0.2257
41.3;-0.1893
41.4;-0.1082
41.5;-0.0146
41.6;0.0041
41.7;0.0558
41.8;0.0824
41.9;0.0796
42.0;0.0896
42.1;0.0588
42.2;0.031
42.3;-0.0049
42.4;0.0468
42.5;0.1062
42.6;0.0508
42.7;0.0798
42.8;0.0678
42.9;0.0548
43.0;0.0871
43.1;0.0381
43.2;0.0086
43.3;-0.0101
43.4;-0.0412
43.5;-0.0213
43.6;-0.0228
43.7;-0.0015
43.8;-0.037
43.9;-0.0808
44.0;-0.0412
44.1;-0.0695
44.2;-0.0285
44.3;-0.0037
44.4;-0.045
44.5;0.0148
44.6;0.088
44.7;0.0394
44.8;-0.0236
44.9;0.0454
45.0;0.0775
45.1;0.0266
45.2;-0.0239
45.3;-0.0059
45.4;0.0218
45.5;0.0245
45.6;0.0573
45.7;0.0661
45.8;0.0679
45.9;0.035
46.0;0.0424
46.1;0.0469
46.2;0.0969
46.3;0.0912
46.4;0.0684
46.5;0.0191
46.6;0.0093
46.7;0.0122
46.8;-0.0281
46.9;-0.062
47.0;-0.0132
47.1;0.0136
47.2;-0.0277
47.3;-0.0514
47.4;-0.0238
47.5;-0.0868
47.6;-0.0616
47.7;-0.1258
47.8;-0.1834
47.9;-0.1351
48.0;-0.1164
48.1;-0.0558
48.2;0.0108
48.3;0.0117
48.4;-0.0197
48.5;0.027
48.6;0.0212
48.7;0.0507
48.8;-0.0177
48.9;-0.0737
49.0;-0.0213
49.1;0.0378
49.2;0.0603
49.3;0.0286
49.4;0.0145
49.5;0.0368
49.6;0.0181
49.7;-0.0025
49.8;0.0243
49.9;-0.0128
50.0;-0.0221
50.1;0.0303
50.2;0.0468
50.3;0.0585
50.4;0.0321
50.5;0.0606
50.6;0.0939
50.7;0.0839
50.8;0.0485
50.9;0.0114
51.0;-0.0171
51.1;0.0371
51.2;0.0126
51.3;-0.0165
51.4;0.0009
51.5;-0.011
51.6;-0.038
51.7;-0.0399
51.8;-0.0792
51.9;-0.1138
52.0;-0.0848
52.1;0.0175
52.2;-0.0179
52.3;-0.0252
52.4;-0.0353
52.5;-0.0481
52.6;-0.0684
52.7;-0.0355
52.8;0.0297
52.9;0.0199
53.0;-0.0244
53.1;-0.0019
53.2;0.0193
53.3;0.0054
53.4;-0.0263
53.5;0.0019
53.6;-0.0099
53.7;0.0595
53.8;0.0213
53.9;0.028
54.0;0.0832
54.1;0.0831
54.2;0.0299
54.3;0.0757
54.4;0.0421
54.5;0.0216
54.6;-0.0262
54.7;0.0163
54.8;-0.0165
54.9;0.0253
55.0;0.0398
55.1;0.0225
55.2;0.0047
55.3;0.0071
55.4;-0.0528
55.5;-0.084
55.6;-0.0244
55.7;-0.0135
55.8;-0.0324
55.9;-0.0108
56.0;-0.008
56.1;-0.0365
56.2;-0.0869
56.3;-0.0472
56.4;-0.0006
56.5;-0.008
56.6;-0.003
56.7;-0.0065
56.8;-0.0108
56.9;0.0415
57.0;0.0364
57.1;0.0292
57.2;0.0353
57.3;0.032
57.4;0.0065
57.5;-0.0135
57.6;-0.0075
57.7;0.0358
57.8;0.031
57.9;0.0045
58.0;0.0041
58.1;-0.0217
58.2;0.0472
58.3;-0.0063
58.4;0.008
58.5;-0.008
58.6;0.0019
58.7;-0.0841
58.8;-0.0282
58.9;-0.0189
59.0;-0.0658
59.1;-0.0349
59.2;-0.0578
59.3;-0.0305
59.4;0.0286
59.5;0.0253
59.6;0.0487
59.7;0.0656
59.8;0.0643
59.9;-0.0513
60.0;-0.0523
60.1;0.0216
60.2;-0.0367
60.3;-0.0935
60.4;-0.1201
60.5;0.1302
60.6;0.1216
60.7;0.1286
60.8;0.0826
60.9;0.0867
61.0;-0.0027
61.1;-0.0989
61.2;-0.0167
61.3;0.0426
61.4;0.0359
61.5;0.0047
61.6;0.0143
61.7;0.0017
61.8;-0.0211
61.9;-0.0372
62.0;-0.073
62.1;-0.045
62.2;-0.0089
62.3;0.0216
62.4;-0.0295
62.5;0.0417
62.6;0.0089
62.7;-0.0631
62.8;-0.0353
62.9;-0.019
63.0;-0.0022
63.1;0.0266
63.2;-0.0049
63.3;-0.001
63.4;0.0348
63.5;0.0071
63.6;-0.0241
63.7;-0.006
63.8;-0.029
63.9;0.0071
64.0;0.0136
64.1;0.049
64.2;0.0515
64.3;0.0464
64.4;-0.0091
64.5;-0.0184
64.6;-0.0331
64.7;-0.04
64.8;-0.0447
64.9;0.0103
65.0;0.0674
65.1;0.0785
65.2;0.0363
65.3;0.0547
65.4;0.0627
65.5;0.0492
65.6;0.0026
65.7;-0.0105
65.8;-0.0327
65.9;-0.085
66.0;-0.083
66.1;-0.0334
66.2;0.0144
66.3;0.0184
66.4;0.0146
66.5;0.0218
66.6;-0.0328
66.7;-0.0535
66.8;-0.0435
66.9;-0.0498
67.0;-0.0091
67.1;-0.0086
67.2;-0.0252
67.3;-0.0128
67.4;0.0416
67.5;0.0581
67.6;0.0358
67.7;0.0235
67.8;0.0176
67.9;0.0349
68.0;0.0006
68.1;-0.0398
68.2;-0.0396
68.3;-0.0254
68.4;-0.0259
68.5;-0.0284
68.6;-0.0289
68.7;-0.0287
68.8;-0.0414
68.9;-0.0238
69.0;-0.0263
69.1;-0.0105
69.2;0.0156
69.3;0.0578
69.4;0.0547
69.5;0.0443
69.6;0.0363
69.7;0.0346
69.8;0.0464
69.9;0.0372
70.0;0.002
70.1;0.0096
70.2;0.0204
70.3;0.0273
70.4;0.0273
70.5;-0.0027
70.6;-0.0249
70.7;-0.0043
70.8;0.0181
70.9;0.0291
71.0;0.0326
71.1;0.0206
71.2;-0.0318
71.3;-0.0276
71.4;-0.0502
71.5;-0.0371
71.6;-0.0453
71.7;-0.0278
71.8;-0.0243
71.9;-0.0119
72.0;-0.0269
72.1;-0.0183
72.2;-0.016
72.3;-0.0117
72.4;-0.0192
72.5;-0.0177
72.6;-0.0064
72.7;0.0025
72.8;0.002
72.9;0.0011
73.0;0.0216
73.1;0.022
73.2;-0.0007
73.3;-0.0123
73.4;-0.0088
73.5;0.0029
73.6;0.0017
73.7;0.0006
73.8;0.0003
73.9;0.0056
74.0;0.0066
74.1;0.006
74.2;0.0157
74.3;0.0123
74.4;0.0166
74.5;0.0196
74.6;0.0165
74.7;0.0212
74.8;0.0202
74.9;0.0017
75.0;-0.0042
75.1;0.0109
75.2;0.0087
75.3;0.0196
75.4;0.0032
75.5;0.0108
75.6;0.0163
75.7;0.0119
75.8;0.0198
75.9;0.0138
76.0;0.0146
76.1;-0.0064
76.2;-0.0016
76.3;0.0098
76.4;0.0041
76.5;-0.0055
76.6;0.0029
76.7;-0.0131
76.8;-0.0292
76.9;-0.0419
77.0;-0.031
77.1;-0.0292
77.2;-0.0114
77.3;-0.0043
77.4;-0.0004
77.5;-0.0208
77.6;-0.0226
77.7;-0.0196
77.8;0.0033
77.9;0.0175
78.0;0.0092
78.1;0.0077
78.2;0.0134
78.3;0.0189
78.4;0.0066
78.5;0.0109
78.6;0.0035
78.7;-0.0205
78.8;-0.0231
78.9;-0.0229
79.0;-0.0372
79.1;-0.0301
79.2;-0.027
79.3;-0.0052
79.4;0.0273
79.5;0.0155
79.6;0.0108
79.7;0.0112
79.8;0.0133
79.9;0.0089
80.0;-0.0021
80.1;0.0004
80.2;-0.0103
80.3;-0.003
80.4;0.0044
80.5;-0.0044
80.6;0.0079
80.7;0.0105
80.8;0.0109
80.9;0.0086
81.0;0.0136
81.1;-0.0085
81.2;-0.014
81.3;-0.0014
81.4;-0.0074
81.5;0.0082
81.6;0.0043
81.7;0.0101
81.8;0.0081
81.9;0.0076
82.0;0.0278
82.1;0.0291
82.2;0.0305
82.3;0.0136
82.4;-0.0166
82.5;0.0047
82.6;0.0003
82.7;0.0007
82.8;0.0022
82.9;0.0114
83.0;0.0219
83.1;0.0295
83.2;0.0303
83.3;0.0158
83.4;-0.0052
83.5;-0.0153
83.6;-0.0206
83.7;-0.0114
83.8;-0.0103
83.9;-0.026
84.0;-0.0143
84.1;-0.0103
84.2;-0.0277
84.3;-0.0324
84.4;-0.0262
84.5;-0.0232
84.6;-0.025
84.7;-0.0185
84.8;-0.0176
84.9;-0.0132
85.0;-0.0011
85.1;0.0032
85.2;-0.0184
85.3;-0.0086
85.4;-0.0056
85.5;-0.0046
85.6;-0.0021
85.7;-0.0056
85.8;-0.0074
85.9;0.0007
86.0;0.012
86.1;0.0135
86.2;0.0162
86.3;0.0211
86.4;0.007
86.5;0.0247
86.6;0.0139
86.7;0.0118
86.8;0.0062
86.9;0.0027
87.0;0.0259
87.1;0.0118
87.2;0.018
87.3;0.0005
87.4;-0.0037
87.5;0.0027
87.6;0.014
87.7;0.0036
87.8;0.0025
87.9;0.0007
88.0;0.0116
88.1;0.0175
88.2;0.0167
88.3;0.0109
88.4;0.0028
88.5;0.0053
88.6;-0.0019
88.7;-0.0038
88.8;-0.0018
88.9;-0.0041
89.0;-0.0015
89.1;-0.0094
89.2;-0.004
89.3;-0.0119
89.4;-0.0129
89.5;-0.0222
89.6;-0.0038
89.7;-0.0062
89.8;-0.0126
89.9;-0.0114
90.0;-0.0227
90.1;-0.0228
90.2;-0.0251
90.3;-0.0211
90.4;-0.0228
90.5;-0.0135
90.6;0.0011
90.7;0.0145
90.8;0.0138
90.9;0.0178
91.0;0.0146
91.1;0.0144
91.2;0.0139
91.3;0.0075
91.4;0.0062
91.5;0.0098
91.6;0.0077
91.7;0.0152
91.8;0.0129
91.9;0.0049
92.0;0.0007
92.1;-0.0055
92.2;-0.0078
92.3;-0.004
92.4;-0.0036
92.5;-0.0088
92.6;-0.0047
92.7;-0.0089
92.8;-0.0015
92.9;-0.0019
93.0;0.0067
93.1;0.0074
93.2;0.0006
93.3;-0.0022
93.4;-0.0157
93.5;-0.0245
93.6;-0.0163
93.7;-0.0042
93.8;0.0034
93.9;0.005
94.0;0.0057
94.1;-0.006
94.2;0.0019
94.3;-0.0005
94.4;-0.0039
94.5;0.0078
94.6;0.0015
94.7;-0.0053
94.8;-0.007
94.9;-0.0015
95.0;-0.002
95.1;0.0052
95.2;0.0059
95.3;0.0087
95.4;0.0059
95.5;0.0104
95.6;0.0103
95.7;0.0192
95.8;0.0188
95.9;0.0145
96.0;0.0088
96.1;0.0026
96.2;-0.0013
96.3;-0.0019
96.4;0.0085
96.5;0.0152
96.6;0.0075
96.7;0.0059
96.8;0.0
96.9;-0.0078
97.0;-0.0165
97.1;-0.0154
97.2;-0.0103
97.3;-0.0017
97.4;-0.0015
97.5;0.0004
97.6;0.0016
97.7;0.0024
97.8;0.0054
97.9;0.0103
98.0;0.0073
98.1;0.0059
98.2;-0.0035
98.3;-0.0163
98.4;-0.0233
98.5;-0.0186
98.6;-0.0168
98.7;-0.0158
98.8;-0.0119
98.9;-0.0002
99.0;0.0088
99.1;0.0116
99.2;0.0139
99.3;0.0081
99.4;0.0117
99.5;0.006
99.6;0.002
99.7;0.0058
99.8;0.0046
99.9;-0.0026
100.0;0.0
