Time [sec];Acceleration [g]
33.7;0.0058
33.8;-0.001
33.9;0.0027
34.0;0.0431
34.1;-0.0164
34.2;0.0445
34.3;-0.0692
34.4;-0.0037
34.5;-0.0439
34.6;0.0032
34.7;-0.0045
34.8;-0.0071
34.9;0.0596
35.0;-0.0447
35.1;-0.004
35.2;0.0261
35.3;-0.0336
35.4;-0.0087
35.5;0.0783
35.6;-0.0096
35.7;-0.0259
35.8;-0.0156
35.9;0.0008
36.0;-0.0097
36.1;0.0055
36.2;0.0533
36.3;-0.0414
36.4;-0.0048
36.5;0.0133
36.6;-0.0134
36.7;-0.0354
36.8;0.0146
36.9;0.0016
37.0;-0.0254
37.1;0.0066
37.2;-0.0217
37.3;0.0282
37.4;0.0027
37.5;-0.0307
37.6;0.0358
37.7;0.011
37.8;0.0022
37.9;-0.0208
38.0;-0.0148
38.1;0.0039
38.2;0.0111
38.3;0.0207
38.4;0.0005
38.5;0.0077
38.6;-0.0441
38.7;0.0166
38.8;-0.0172
38.9;0.0213
39.0;0.0044
39.1;0.0219
39.2;-0.034
39.3;-0.002
39.4;-0.0197
39.5;0.0591
39.6;-0.0126
39.7;-0.0048
39.8;0.0119
39.9;0.0198
40.0;0.0015
40.1;0.0253
40.2;-0.0155
40.3;-0.0033
40.4;0.0138
40.5;-0.035
40.6;-0.0006
40.7;0.0065
40.8;0.0181
40.9;-0.0114
41.0;-0.006
41.1;0.0372
41.2;0.0041
41.3;-0.0028
41.4;-0.0205
41.5;0.0235
41.6;-0.0061
41.7;-0.0104
41.8;0.0294
41.9;0.0209
42.0;-0.0042
42.1;0.0002
42.2;-0.0221
42.3;0.0123
42.4;-0.0069
42.5;-0.0094
42.6;0.0047
42.7;-0.0195
42.8;-0.0121
42.9;-0.0107
43.0;0.0295
43.1;-0.005
43.2;0.0053
43.3;-0.0056
43.4;-0.0123
43.5;0.0426
43.6;-0.0084
43.7;-0.0064
43.8;0.0018
43.9;0.0169
44.0;-0.013
44.1;-0.0059
44.2;0.0015
44.3;0.0049
44.4;-0.039
44.5;-0.0046
44.6;0.0317
44.7;-0.0029
44.8;-0.0031
44.9;-0.0239
45.0;-0.037
45.1;0.0226
45.2;-0.0043
45.3;-0.007
45.4;0.0278
45.5;-0.003
45.6;-0.0258
45.7;0.0119
45.8;-0.0061
45.9;0.0159
46.0;-0.0255
46.1;0.0088
46.2;0.0414
46.3;-0.032
46.4;0.0161
46.5;-0.0138
46.6;0.0292
46.7;-0.0216
46.8;-0.0413
46.9;0.0241
47.0;-0.0007
47.1;0.0025
47.2;-0.0193
47.3;0.0015
47.4;0.0172
47.5;-0.0159
47.6;-0.0225
47.7;0.0027
47.8;0.0036
47.9;0.0249
48.0;-0.0092
48.1;0.021
48.2;-0.0191
48.3;-0.008
48.4;0.0036
48.5;-0.0046
48.6;0.0086
48.7;0.0066
48.8;-0.0076
48.9;0.0112
49.0;0.0048
49.1;-0.0049
49.2;0.006
49.3;0.0011
49.4;-0.0067
49.5;0.026
