Time [sec];Acceleration [g]
33.9;-0.0551
34.0;0.0518
34.1;0.2334
34.2;-0.2069
34.3;-0.3065
34.4;0.1622
34.5;-0.0958
34.6;-0.1417
34.7;0.1793
34.8;-0.1214
34.9;-0.1413
35.0;-0.0003
35.1;0.004
35.2;-0.0054
35.3;-0.1141
35.4;0.0603
35.5;0.0552
35.6;-0.0356
35.7;-0.0244
35.8;-0.0516
35.9;-0.0123
36.0;-0.001
36.1;0.0808
36.2;0.1282
36.3;-0.0259
36.4;-0.0969
36.5;0.0058
36.6;0.0087
36.7;0.0057
36.8;-0.0576
36.9;0.0021
37.0;0.0747
37.1;0.078
37.2;-0.0819
37.3;0.1254
37.4;-0.0618
37.5;-0.0717
37.6;0.024
37.7;0.0881
37.8;0.0358
37.9;-0.1102
38.0;0.1808
38.1;-0.0473
38.2;-0.0105
38.3;-0.0792
38.4;-0.0044
38.5;-0.0861
38.6;0.0074
38.7;-0.1009
38.8;0.0773
38.9;-0.023
39.0;0.0314
39.1;-0.0627
39.2;0.0444
39.3;0.0522
39.4;0.0591
39.5;0.0463
39.6;-0.006
39.7;-0.0116
39.8;-0.1298
39.9;-0.0567
40.0;0.0532
40.1;0.0171
40.2;-0.0679
40.3;0.0479
40.4;0.02
40.5;-0.0247
40.6;-0.004
40.7;-0.0682
40.8;-0.0492
40.9;0.0322
41.0;-0.0322
41.1;-0.0444
41.2;0.0022
41.3;-0.107
41.4;-0.1135
41.5;0.022
41.6;0.0452
41.7;0.0293
41.8;0.0257
41.9;0.0245
42.0;0.0754
42.1;-0.0347
42.2;0.0126
42.3;0.0037
42.4;-0.0382
42.5;-0.0456
42.6;0.1118
42.7;0.0047
42.8;-0.0262
42.9;-0.022
43.0;-0.034
43.1;0.0045
43.2;0.0964
43.3;0.0763
43.4;-0.1533
43.5;-0.081
43.6;0.006
43.7;-0.0316
43.8;0.0034
43.9;-0.0243
44.0;-0.0717
44.1;0.1114
44.2;0.0371
44.3;0.0096
44.4;-0.0196
44.5;0.1092
44.6;-0.0959
44.7;0.0206
44.8;0.0281
44.9;-0.0328
45.0;0.0
